X, Y, Z, Thresh, Prec, Max, Min, Total Steps 
-91, -25, -66, 133, 47, 511, -245, 18
-110, -20, -70, 133, 47, 511, -245, 18
-141, -21, -71, 133, 47, 511, -245, 18
-159, -16, -77, 133, 47, 511, -245, 18
-164, 0, -91, 133, 47, 511, -245, 18
-156, 20, -108, 133, 47, 511, -245, 18
-138, 32, -112, 133, 47, 511, -245, 18
-122, 23, -75, 133, 47, 511, -245, 18
-120, 3, 2, 133, 47, 511, -245, 18
-121, -18, 147, 133, 47, 511, -245, 18
-116, -17, 296, 133, 47, 511, -245, 18
-117, -9, 410, 133, 47, 511, -245, 18
-111, -13, 493, 133, 47, 511, -245, 18
-94, -16, 511, 133, 47, 511, -245, 18
-78, -14, 486, 133, 47, 511, -245, 18
-62, 10, 412, 133, 47, 511, -245, 18
-38, 62, 312, 133, 47, 511, -245, 18
-17, 113, 197, 133, 47, 511, -245, 18
2, 142, 98, 133, 47, 511, -245, 18
26, 145, 51, 133, 47, 511, -245, 18
53, 129, 32, 133, 47, 511, -245, 18
76, 100, 31, 133, 47, 511, -245, 18
94, 72, 46, 133, 47, 511, -245, 18
99, 55, 60, 133, 47, 511, -245, 18
95, 42, 76, 133, 47, 511, -245, 18
97, 27, 89, 133, 47, 511, -245, 18
99, -8, 109, 133, 47, 511, -245, 18
89, -47, 166, 133, 47, 511, -245, 18
60, -63, 270, 133, 47, 511, -245, 18
27, -48, 372, 133, 47, 511, -245, 18
-23, -11, 462, 133, 47, 511, -245, 18
-75, 16, 511, 133, 47, 511, -245, 18
-113, -18, 511, 133, 47, 511, -245, 18
-160, -82, 511, 133, 47, 511, -245, 18
-194, -145, 495, 133, 47, 511, -245, 18
-205, -180, 438, 133, 47, 511, -245, 18
-202, -160, 348, 133, 47, 511, -245, 18
-183, -115, 237, 133, 47, 511, -245, 18
-148, -75, 134, 133, 47, 511, -245, 18
-115, -51, 67, 133, 47, 511, -245, 18
-93, -46, 25, 133, 47, 511, -245, 18
-90, -55, -4, 133, 47, 511, -245, 18
-110, -66, -24, 133, 47, 511, -245, 18
-144, -80, -32, 133, 47, 511, -245, 18
-174, -93, -26, 133, 47, 511, -245, 18
-181, -88, -27, 133, 47, 511, -245, 18
-164, -65, -49, 133, 47, 511, -245, 18
-132, -29, -93, 133, 47, 511, -245, 18
-99, 6, -145, 133, 47, 511, -245, 18
-78, 18, -177, 133, 47, 511, -245, 18
