X,Y,Z
-89,23,88
-78,13,74
-60,11,38
-49,18,-5
-53,24,-36
-67,9,-39
-87,-5,-37
-108,-29,-53
-98,-9,-94
138,-73,157
90,-63,238
67,-54,288
35,-85,312
-54,-173,454
-303,-195,511
-470,-137,511
-492,-124,511
-439,-114,511
-348,-97,307
-253,-63,147
-171,-43,83
-135,-34,64
-107,-19,53
-88,0,45
-85,14,57
-89,23,88
-78,13,74
-60,11,38
-49,18,-5
-53,24,-36
-67,9,-39
-87,-5,-37
-108,-29,-53
-98,-9,-94
-135,28,-162
-154,50,-141
-232,41,0
-390,-19,467
-509,-86,511
-387,-65,511
-231,11,511
-120,88,449
-60,139,328
-37,129,256
-10,75,193
35,-3,135
68,-38,74
89,-29,43
97,-16,34
109,-16,32
126,-25,42
162,-34,50
170,-63,65
166,-84,118
145,-83,182
119,-67,269
97,-81,378
17,-188,511
-175,-295,511
138,-73,157
90,-63,238
67,-54,288
35,-85,312
-54,-173,454
-303,-195,511
-470,-137,511
-492,-124,511
-439,-114,511
-348,-97,307
-253,-63,147
-171,-43,83
-135,-34,64
-107,-19,53
-88,0,45
-85,14,57
-89,23,88
-78,13,74
-60,11,38
-49,18,-5
-53,24,-36
-67,9,-39
-87,-5,-37
-108,-29,-53
-98,-9,-94
-135,28,-162
-154,50,-141
-232,41,0
-390,-19,467
-509,-86,511
-387,-65,511
-231,11,511
-120,88,449
-60,139,328
-37,129,256
-10,75,193
35,-3,135
68,-38,74
89,-29,43
97,-16,34
109,-16,32
126,-25,42
162,-34,50
170,-63,65
166,-84,118
145,-83,182
119,-67,269
97,-81,378
17,-188,511
-175,-295,511
-359,-261,511
-457,-265,511
-435,-221,511
-338,-159,323
-235,-113,155
-170,-65,75
-120,-26,52
-106,-8,39
-86,-3,24
-78,-2,21
-84,-4,17
-84,-4,-6
-74,11,-46
-65,34,-82
-65,44,-117
-75,27,-124
-94,-4,-110
-89,-18,-101
-136,11,-141
-190,24,-127
-268,25,28
-458,13,468
-512,-52,511
-458,-74,511
-279,-18,511
138,-73,157
90,-63,238
67,-54,288
35,-85,312
-54,-173,454
-303,-195,511
-470,-137,511
-492,-124,511
-439,-114,511
-348,-97,307
-253,-63,147
-171,-43,83
-135,-34,64
-107,-19,53
-88,0,45
-85,14,57
-89,23,88
-78,13,74
-60,11,38
-49,18,-5
-53,24,-36
-67,9,-39
-87,-5,-37
-108,-29,-53
-98,-9,-94
-135,28,-162
-154,50,-141
-232,41,0
-390,-19,467
-509,-86,511
-387,-65,511
-231,11,511
-120,88,449
-60,139,328
-37,129,256
-10,75,193
35,-3,135
68,-38,74
89,-29,43
97,-16,34
109,-16,32
126,-25,42
162,-34,50
170,-63,65
166,-84,118
145,-83,182
119,-67,269
97,-81,378
17,-188,511
-175,-295,511
-359,-261,511
-457,-265,511
-435,-221,511
-338,-159,323
-235,-113,155
-170,-65,75
-120,-26,52
-106,-8,39
-86,-3,24
-78,-2,21
-84,-4,17
-84,-4,-6
-74,11,-46
-65,34,-82
-65,44,-117
-75,27,-124
-94,-4,-110
-89,-18,-101
-136,11,-141
-190,24,-127
-268,25,28
-458,13,468
-512,-52,511
-458,-74,511
-279,-18,511
-127,58,445
-63,111,223
-35,80,195
16,28,200
37,-9,175
46,-20,150
61,-23,129
80,-27,115
110,-31,117
121,-63,103
148,-62,94
160,-47,82
151,-46,74
116,-59,97
112,-60,136
98,-48,193
95,-51,250
-11,-106,443
-192,-201,511
-390,-204,511
-456,-195,511
-397,-169,511
-289,-158,333
-209,-119,122
-149,-80,41
-124,-60,24
-94,-46,17
-86,-37,12
-81,-23,36
-87,-14,56
-80,-13,56
-57,-2,23
-40,15,-21
-41,34,-67
-53,36,-105
-60,18,-119
-44,-1,-122
-57,22,-169
-132,49,-194
-209,43,-107
-364,42,207
-512,4,511
-512,-47,511
-450,-35,511
-298,36,511
-165,63,466
-90,76,290
-48,72,232
20,73,218
33,63,204
-124,-60,24
-94,-46,17
-86,-37,12
-81,-23,36
-87,-14,56
-80,-13,56
-57,-2,23
-40,15,-21
-41,34,-67
-53,36,-105
-60,18,-119
-44,-1,-122
-57,22,-169
-132,49,-194
-209,43,-107
-364,42,207
-512,4,511
-512,-47,511
-450,-35,511
-298,36,511
-165,63,466
-90,76,290
-48,72,232
20,73,218
33,63,204
58,77,194
47,37,160
73,19,136
96,6,138
100,-2,148
97,-7,149
105,-18,144
111,-51,163
111,-107,182
116,-117,205
120,-107,263
83,-149,383
-102,-216,511
-227,-267,511
-268,-337,511
-293,-345,511
-282,-288,369
-259,-260,146
-230,-228,6
-229,-188,-22
-210,-149,-17
-202,-87,-1
-161,-41,10
-122,-5,9
-89,25,-9
-124,-60,24
-94,-46,17
-86,-37,12
-81,-23,36
-87,-14,56
-80,-13,56
-57,-2,23
-40,15,-21
-41,34,-67
-53,36,-105
-60,18,-119
-44,-1,-122
-57,22,-169
-132,49,-194
-209,43,-107
-364,42,207
-512,4,511
-512,-47,511
-450,-35,511
-298,36,511
-165,63,466
-90,76,290
-48,72,232
20,73,218
33,63,204
58,77,194
47,37,160
73,19,136
96,6,138
100,-2,148
97,-7,149
105,-18,144
111,-51,163
111,-107,182
116,-117,205
120,-107,263
83,-149,383
-102,-216,511
-227,-267,511
-268,-337,511
-293,-345,511
-282,-288,369
-259,-260,146
-230,-228,6
-229,-188,-22
-210,-149,-17
-202,-87,-1
-161,-41,10
-122,-5,9
-89,25,-9
-57,47,-30
-33,48,-31
-24,45,-37
8,29,-23
50,9,14
23,-37,26
-42,-53,-2
-200,-17,6
-355,4,107
-466,-19,316
-512,-173,449
-512,-250,511
-512,-168,511
-456,-65,394
-329,-12,257
-259,59,175
-303,14,168
-189,53,274
-161,84,358
-108,101,335
-23,87,277
76,59,229
138,13,200
170,-20,178
181,-46,155
-124,-60,24
-94,-46,17
-86,-37,12
-81,-23,36
-87,-14,56
-80,-13,56
-57,-2,23
-40,15,-21
-41,34,-67
-53,36,-105
-60,18,-119
-44,-1,-122
-57,22,-169
-132,49,-194
-209,43,-107
-364,42,207
-512,4,511
-512,-47,511
-450,-35,511
-298,36,511
-165,63,466
-90,76,290
-48,72,232
20,73,218
33,63,204
58,77,194
47,37,160
73,19,136
96,6,138
100,-2,148
97,-7,149
105,-18,144
111,-51,163
111,-107,182
116,-117,205
120,-107,263
83,-149,383
-102,-216,511
-227,-267,511
-268,-337,511
-293,-345,511
-282,-288,369
-259,-260,146
-230,-228,6
-229,-188,-22
-210,-149,-17
-202,-87,-1
-161,-41,10
-122,-5,9
-89,25,-9
-57,47,-30
-33,48,-31
-24,45,-37
8,29,-23
50,9,14
23,-37,26
-42,-53,-2
-200,-17,6
-355,4,107
-466,-19,316
-512,-173,449
-512,-250,511
-512,-168,511
-456,-65,394
-329,-12,257
-259,59,175
-303,14,168
-189,53,274
-161,84,358
-108,101,335
-23,87,277
76,59,229
138,13,200
170,-20,178
181,-46,155
177,-47,133
169,-51,121
161,-70,113
136,-97,130
77,-115,200
37,-130,284
-34,-142,333
-142,-160,409
-256,-188,511
-340,-205,511
-402,-240,511
-374,-217,471
-280,-158,201
-202,-117,88
-127,-107,47
-97,-100,24
-83,-85,-7
-71,-28,-40
-74,0,-47
-63,0,-56
-58,-51,-61
-53,-88,-74
-53,-57,-112
-65,5,-157
-93,41,-191
-110,45,-186
-170,43,-162
-286,20,11
-431,-34,303
-512,-186,511
-487,-321,511
-443,-326,511
-356,-197,511
-273,-47,402
-212,30,246
-152,21,226
-89,19,228
-59,27,186
-6,67,152
85,75,119
94,7,72
112,-34,63
123,-47,57
154,-55,51
153,-61,44
129,-34,51
50,-28,109
-34,-13,219
-141,-7,320
-235,-78,434
-110,45,-186
-170,43,-162
-286,20,11
-431,-34,303
-512,-186,511
-487,-321,511
-443,-326,511
-356,-197,511
-273,-47,402
-212,30,246
-152,21,226
-89,19,228
-59,27,186
-6,67,152
85,75,119
94,7,72
112,-34,63
123,-47,57
154,-55,51
153,-61,44
129,-34,51
50,-28,109
-34,-13,219
-141,-7,320
-235,-78,434
-325,-163,511
-420,-230,511
-441,-295,511
-348,-285,431
-235,-241,239
-158,-165,118
-125,-93,65
-87,-77,32
-78,-111,7
-34,-80,0
-60,-50,13
-70,2,43
-65,51,36
-64,85,-1
-66,91,-42
-77,81,-70
-102,60,-88
