X,Y,Z
34,173,193
67,173,133
90,142,103
61,92,79
45,70,86
70,64,89
116,107,112
95,18,111
122,-7,140
183,13,150
187,25,139
158,12,126
125,-6,163
85,-28,232
69,-13,346
53,-43,502
-135,-128,511
-355,-80,511
-460,-66,511
-402,-64,511
-273,-110,412
-201,-132,210
-127,-76,95
-100,4,94
-86,42,88
-72,37,50
-65,16,18
-69,-13,5
-69,-35,3
-67,-42,-10
-52,-24,-38
-28,6,-74
-26,14,-103
-60,-6,-108
-145,-13,-34
-202,25,74
-277,69,164
-300,43,318
-307,4,469
-304,18,511
-266,87,511
-188,140,467
-98,140,327
-19,128,216
39,65,166
49,-15,267
57,-14,417
97,57,416
116,98,299
116,97,179
115,91,80
129,85,31
129,73,46
151,60,83
149,14,131
124,2,203
116,14,287
104,13,336
10,1,399
-51,33,462
-122,50,509
-186,15,511
-203,-17,511
-165,-36,435
-106,-37,346
-57,-26,301
-32,-11,274
-18,0,229
-9,-13,186
-9,-72,152
-24,-97,113
-73,-49,53
-100,20,0
-100,47,-63
-98,29,-114
-102,-16,-119
-112,-54,-96
-90,-31,-94
-137,44,-70
-167,117,41
-131,142,211
-181,93,407
-195,18,511
-167,24,511
-121,78,511
-73,125,499
-11,124,352
47,78,236
44,41,184
78,18,190
68,46,210
87,66,195
101,58,157
144,89,124
148,76,89
162,30,91
201,17,137
201,22,173
207,24,242
228,31,297
137,10,448
5,8,511
-49,37,511
-93,18,511
-138,-17,505
-149,-36,383
-124,-31,285
-110,-24,213
-90,-14,159
